task,dataset,K,seed,ratio,eta_sel,eta_path_trimmed,viol_sign_pct,LK_eta_sel,LK_eta_path,n_steps_nonpos,frac_steps_nonpos,p
E2,email_eu_core,1,0,1.000000,1,13,0.00,1.000000,0.076923,0,0.000000,0.3
E2,email_eu_core,2,0,0.964371,1.20833,65,0.00,0.656361,0.015325,0,0.000000,0.3
E2,email_eu_core,3,0,0.918750,1.68571,65,0.00,0.483649,0.015306,0,0.000000,0.3
E2,email_eu_core,4,0,0.930189,1.68571,143,0.00,0.473818,0.006975,0,0.000000,0.3
E2,email_eu_core,5,0,0.934028,1.68571,143,0.00,0.468190,0.006973,0,0.000000,0.3
E2,email_eu_core,6,0,0.909688,2.75,143,0.00,0.312795,0.006973,0,0.000000,0.3
E2,email_eu_core,7,0,0.924528,2.75,143,0.00,0.311625,0.006972,0,0.000000,0.3
E2,email_eu_core,8,0,0.946809,2.75,143,0.00,0.310756,0.006972,0,0.000000,0.3
E2,email_eu_core,9,0,0.931852,5,156,0.00,0.183114,0.006392,0,0.000000,0.3
E2,email_eu_core,10,0,0.946221,5,156,0.00,0.182927,0.006392,0,0.000000,0.3
E2,email_eu_core,11,0,0.948571,5,156,0.00,0.182775,0.006392,0,0.000000,0.3
E2,email_eu_core,12,0,0.947961,5,156,0.00,0.182648,0.006391,0,0.000000,0.3
E2,email_eu_core,13,0,0.945908,5,156,0.00,0.182541,0.006391,0,0.000000,0.3
E2,email_eu_core,14,0,0.957592,5,156,0.00,0.182449,0.006391,0,0.000000,0.3
E2,email_eu_core,15,0,0.947368,8,156,0.00,0.117965,0.006391,0,0.000000,0.3
E2,email_eu_core,16,0,0.949333,8,156,0.00,0.117936,0.006391,0,0.000000,0.3
E2,email_eu_core,17,0,0.948617,8,156,0.00,0.117911,0.006391,0,0.000000,0.3
E2,email_eu_core,18,0,0.949219,8,156,0.00,0.117888,0.006391,0,0.000000,0.3
E2,email_eu_core,19,0,0.961290,8,156,0.00,0.117867,0.006391,0,0.000000,0.3
E2,email_eu_core,20,0,0.956522,8,156,0.00,0.117849,0.006391,0,0.000000,0.3
E2,email_eu_core,21,0,0.955584,8,156,0.00,0.117833,0.006391,0,0.000000,0.3
E2,email_eu_core,22,0,0.957179,8,156,0.00,0.117818,0.006391,0,0.000000,0.3
E2,email_eu_core,23,0,0.956250,8,156,0.00,0.117804,0.006391,0,0.000000,0.3
E2,email_eu_core,24,0,0.952795,8,156,0.00,0.117791,0.006391,0,0.000000,0.3
E2,email_eu_core,25,0,0.949383,8,156,0.00,0.117780,0.006391,0,0.000000,0.3
E2,email_eu_core,26,0,0.949693,8,156,0.00,0.117769,0.006391,0,0.000000,0.3
E2,email_eu_core,27,0,0.949939,8,156,0.00,0.117759,0.006391,0,0.000000,0.3
E2,email_eu_core,28,0,0.947752,8,156,0.00,0.117750,0.006390,0,0.000000,0.3
E2,email_eu_core,29,0,0.950423,8,156,0.00,0.117741,0.006390,0,0.000000,0.3
E2,email_eu_core,30,0,0.951865,8,156,0.00,0.117734,0.006390,0,0.000000,0.3
E2,email_eu_core,1,1,1.000000,1,10,0.00,1.000000,0.100000,0,0.000000,0.3
E2,email_eu_core,2,1,0.964371,1.20833,50,0.00,0.656361,0.019900,0,0.000000,0.3
E2,email_eu_core,3,1,0.902083,2.18519,50,0.00,0.391369,0.019867,0,0.000000,0.3
E2,email_eu_core,4,1,0.913208,2.18519,50,0.00,0.384912,0.019850,0,0.000000,0.3
E2,email_eu_core,5,1,0.911458,2.18519,60,0.00,0.381181,0.016556,0,0.000000,0.3
E2,email_eu_core,6,1,0.926108,2.18519,60,0.00,0.378749,0.016551,0,0.000000,0.3
E2,email_eu_core,7,1,0.926101,2.18519,60,0.00,0.377039,0.016548,0,0.000000,0.3
E2,email_eu_core,8,1,0.911854,3.27273,90,0.00,0.267684,0.011057,0,0.000000,0.3
E2,email_eu_core,9,1,0.906667,3.27273,90,0.00,0.267186,0.011056,0,0.000000,0.3
E2,email_eu_core,10,1,0.912791,3.27273,90,0.00,0.266789,0.011056,0,0.000000,0.3
E2,email_eu_core,11,1,0.912857,3.27273,90,0.00,0.266465,0.011055,0,0.000000,0.3
E2,email_eu_core,12,1,0.933896,3.27273,90,0.00,0.266196,0.011055,0,0.000000,0.3
E2,email_eu_core,13,1,0.933426,3.27273,90,0.00,0.265969,0.011054,0,0.000000,0.3
E2,email_eu_core,14,1,0.930233,3.42857,90,0.00,0.255281,0.011054,0,0.000000,0.3
