dataset,p,seed,K,eta_sel_csv,eta_sel_fixedk,LK_csv,LK_fixedk,is_inf,n_steps_nonpos_csv,n_zero_steps_replay,n_harmful_zero_replay,n_benign_zero_replay,eta_sel_changed,LK_changed
email_eu_core,0.3,0,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
email_eu_core,0.3,0,2,1.20833,1.20833,0.656361,0.656361,0,0,0,0,0,0,0
email_eu_core,0.3,0,3,1.68571,1.68571,0.483649,0.483649,0,0,0,0,0,0,0
email_eu_core,0.3,0,4,1.68571,1.68571,0.473818,0.473818,0,0,0,0,0,0,0
email_eu_core,0.3,0,5,1.68571,1.68571,0.468190,0.468190,0,0,0,0,0,0,0
email_eu_core,0.3,0,6,2.75,2.75,0.312795,0.312795,0,0,0,0,0,0,0
email_eu_core,0.3,0,7,2.75,2.75,0.311625,0.311625,0,0,0,0,0,0,0
email_eu_core,0.3,0,8,2.75,2.75,0.310756,0.310756,0,0,0,0,0,0,0
email_eu_core,0.3,0,9,5,5,0.183114,0.183114,0,0,0,0,0,0,0
email_eu_core,0.3,0,10,5,5,0.182927,0.182927,0,0,0,0,0,0,0
email_eu_core,0.3,0,11,5,5,0.182775,0.182775,0,0,0,0,0,0,0
email_eu_core,0.3,0,12,5,5,0.182648,0.182648,0,0,0,0,0,0,0
email_eu_core,0.3,0,13,5,5,0.182541,0.182541,0,0,0,0,0,0,0
email_eu_core,0.3,0,14,5,5,0.182449,0.182449,0,0,0,0,0,0,0
email_eu_core,0.3,0,15,8,8,0.117965,0.117965,0,0,0,0,0,0,0
email_eu_core,0.3,0,16,8,8,0.117936,0.117936,0,0,0,0,0,0,0
email_eu_core,0.3,0,17,8,8,0.117911,0.117911,0,0,0,0,0,0,0
email_eu_core,0.3,0,18,8,8,0.117888,0.117888,0,0,0,0,0,0,0
email_eu_core,0.3,0,19,8,8,0.117867,0.117867,0,0,0,0,0,0,0
email_eu_core,0.3,0,20,8,8,0.117849,0.117849,0,0,0,0,0,0,0
email_eu_core,0.3,0,21,8,8,0.117833,0.117833,0,0,0,0,0,0,0
email_eu_core,0.3,0,22,8,8,0.117818,0.117818,0,0,0,0,0,0,0
email_eu_core,0.3,0,23,8,8,0.117804,0.117804,0,0,0,0,0,0,0
email_eu_core,0.3,0,24,8,8,0.117791,0.117791,0,0,0,0,0,0,0
email_eu_core,0.3,0,25,8,8,0.117780,0.117780,0,0,0,0,0,0,0
email_eu_core,0.3,0,26,8,8,0.117769,0.117769,0,0,0,0,0,0,0
email_eu_core,0.3,0,27,8,8,0.117759,0.117759,0,0,0,0,0,0,0
email_eu_core,0.3,0,28,8,8,0.117750,0.117750,0,0,0,0,0,0,0
email_eu_core,0.3,0,29,8,8,0.117741,0.117741,0,0,0,0,0,0,0
email_eu_core,0.3,0,30,8,8,0.117734,0.117734,0,0,0,0,0,0,0
email_eu_core,0.3,1,1,1,1,1.000000,1.000000,0,0,0,0,0,0,0
email_eu_core,0.3,1,2,1.20833,1.20833,0.656361,0.656361,0,0,0,0,0,0,0
email_eu_core,0.3,1,3,2.18519,2.18519,0.391369,0.391369,0,0,0,0,0,0,0
email_eu_core,0.3,1,4,2.18519,2.18519,0.384912,0.384912,0,0,0,0,0,0,0
email_eu_core,0.3,1,5,2.18519,2.18519,0.381181,0.381181,0,0,0,0,0,0,0
email_eu_core,0.3,1,6,2.18519,2.18519,0.378749,0.378749,0,0,0,0,0,0,0
email_eu_core,0.3,1,7,2.18519,2.18519,0.377039,0.377039,0,0,0,0,0,0,0
email_eu_core,0.3,1,8,3.27273,3.27273,0.267684,0.267684,0,0,0,0,0,0,0
email_eu_core,0.3,1,9,3.27273,3.27273,0.267186,0.267186,0,0,0,0,0,0,0
email_eu_core,0.3,1,10,3.27273,3.27273,0.266789,0.266789,0,0,0,0,0,0,0
email_eu_core,0.3,1,11,3.27273,3.27273,0.266465,0.266465,0,0,0,0,0,0,0
